border_fraction,attended_pixel_count,overlap_precision,overlap_recall,chance_precision,enrichment,fold,dataset,patient_id,slice_index
0.1052734375,20480,0.0,0.0,0.008642578125,0.0,3,MSD,pancreas_207,118
0.179248046875,20480,,,,,3,MSD,pancreas_167,188
0.1568359375,20480,,,,,3,MSD,pancreas_419,170
0.40400390625,20480,,,,,3,MSD,pancreas_227,57
0.026171875,20480,,,,,3,MSD,pancreas_178,196
0.07587890625,20480,,,,,3,MSD,pancreas_331,223
0.336865234375,20480,0.0,0.0,0.007822265625,0.0,3,MSD,pancreas_229,84
0.268212890625,20480,0.0,0.0,0.002392578125,0.0,3,MSD,pancreas_330,163
0.278515625,20480,,,,,3,MSD,pancreas_380,242
0.034033203125,20480,0.0,0.0,0.01703125,0.0,3,MSD,pancreas_006,99
0.116552734375,20480,0.0,0.0,0.004794921875,0.0,3,MSD,pancreas_291,121
0.2369140625,20480,,,,,3,MSD,pancreas_278,38
0.361669921875,20480,,,,,3,MSD,pancreas_127,65
0.3423828125,20480,0.0,0.0,0.003388671875,0.0,3,MSD,pancreas_297,57
0.110400390625,20480,0.0,0.0,0.027236328125,0.0,3,MSD,pancreas_099,118
0.08740234375,20480,0.0,0.0,0.01189453125,0.0,3,MSD,pancreas_012,101
0.000244140625,20480,,,,,3,MSD,pancreas_147,139
0.23600331917801531,20487,,,,,3,MSD,pancreas_255,39
0.30498046875,20480,,,,,3,MSD,pancreas_227,23
0.1681640625,20480,,,,,3,MSD,pancreas_104,55
0.1333984375,20480,,,,,3,MSD,pancreas_094,163
0.198388671875,20480,0.0,0.0,0.002080078125,0.0,3,MSD,pancreas_380,68
0.046337890625,20480,,,,,3,MSD,pancreas_354,345
0.153955078125,20480,,,,,3,MSD,pancreas_347,205
0.228173828125,20480,,,,,3,MSD,pancreas_199,231
0.117822265625,20480,,,,,3,MSD,pancreas_347,162
0.103759765625,20480,,,,,4,MSD,pancreas_087,207
0.1529296875,20480,,,,,4,MSD,pancreas_203,179
0.131982421875,20480,0.0,0.0,0.014638671875,0.0,4,MSD,pancreas_369,85
0.192041015625,20480,,,,,4,MSD,pancreas_275,187
0.33212890625,20480,,,,,4,MSD,pancreas_375,54
0.333056640625,20480,0.0,0.0,0.00619140625,0.0,4,MSD,pancreas_055,126
0.12209046991655688,20493,,,,,4,MSD,pancreas_258,28
0.176806640625,20480,0.0,0.0,0.00974609375,0.0,4,MSD,pancreas_411,162
0.158740234375,20480,,,,,4,MSD,pancreas_315,45
0.214404296875,20480,,,,,4,MSD,pancreas_228,201
0.2078125,20480,,,,,4,MSD,pancreas_135,239
0.02919921875,20480,,,,,4,MSD,pancreas_087,70
0.118310546875,20480,,,,,4,MSD,pancreas_071,109
0.222802734375,20480,0.0,0.0,0.006865234375,0.0,4,MSD,pancreas_315,79
0.291845703125,20480,,,,,4,MSD,pancreas_244,223
0.3533203125,20480,0.0,0.0,0.006806640625,0.0,4,MSD,pancreas_345,98
0.1259765625,20480,,,,,4,MSD,pancreas_369,208
0.039111328125,20480,,,,,4,MSD,pancreas_365,139
0.2240234375,20480,0.0,0.0,0.003828125,0.0,4,MSD,pancreas_236,111
0.147216796875,20480,0.0,0.0,0.014091796875,0.0,4,MSD,pancreas_203,120
0.175927734375,20480,0.0,0.0,0.0141796875,0.0,4,MSD,pancreas_385,115
0.0271484375,20480,,,,,4,MSD,pancreas_258,144
0.197802734375,20480,0.0,0.0,0.00697265625,0.0,4,MSD,pancreas_077,46
0.16953125,20480,,,,,4,MSD,pancreas_364,7
0.11025390625,20480,,,,,4,MSD,pancreas_087,379
0.133203125,20480,0.0,0.0,0.015185546875,0.0,4,MSD,pancreas_145,108
0.260205078125,20480,0.0,0.0,0.007255859375,0.0,4,MSD,pancreas_275,125
